,I,P,S,B,K,A
0,0.8621271664005346,0.38927919002151734,0.022123145450311972,2.0,0.46089905593013697,0.24787732413189437
1,-0.36340127944664125,-0.3288903911963479,0.9996370946468953,2.0,0.8058494855478022,-3.428134877477847
2,1.1951437525410926,0.3409473213413938,-0.1999731839083337,2.0,0.7537523258461869,0.4660408881477218
3,0.20881734057421375,-1.295105658601265,0.9257718462379483,2.0,0.5902635496124631,0.6183306970313744
4,-0.6082255891158216,-1.2814253140327452,-0.1646441469673737,2.0,0.6721273152415499,-0.39196156601905074
5,0.284397990699562,-1.0098065605740918,1.1691875656374917,2.0,0.1666815551662948,-1.0426116243007828
6,1.5580993344345715,0.7291262368451203,-0.20571805079628572,2.0,0.4321222977141935,0.44151902212191724
7,-0.13525245698055258,-0.38099931443472146,1.0596303853355407,2.0,0.2570481907079112,-0.570894067226791
8,-0.03758078708276025,-0.5878954456805248,0.09694876582523178,2.0,0.7246511324562143,0.8588233481728481
9,2.0943699292573985,0.8032364457891242,1.11062016822876,2.0,0.5896444923488894,-1.2393474284212485
10,0.7194161067149664,-0.5386486740123773,-0.1528173229124139,2.0,0.5034851802202701,-0.5697103917197218
11,-0.7391243525562047,0.16801434228513512,1.0720896961524256,2.0,0.8830664594595796,2.7707874200296025
12,1.5187845788400138,0.5801163474350954,1.1423631914873495,2.0,0.2839858112748075,1.8122770455124164
13,-0.03778921389500389,0.09657297817229205,0.9545681295051062,2.0,0.6940115389067921,0.6475753774812839
14,1.8137674198216538,2.115938683271658,1.1896725432879256,2.0,0.7255552833582449,2.683132478272094
15,1.3855175160713653,0.020629981671497644,-0.0007489382834920107,2.0,0.5230166184435103,2.318746013979718
16,1.1754916975375178,2.272102786210875,-0.06714893608373021,2.0,0.9054948145449019,4.517811045016966
17,0.17667770490936346,-1.5780542772492323,-0.12974721454445004,2.0,0.5670890302379533,-0.9220209727509052
18,1.2162484651084,1.4319047671107277,0.9694366361089279,2.0,0.946221971328199,3.145421328033798
19,-0.08222035777985132,-1.3370193341135468,1.0307577235526744,2.0,0.796567212602899,-2.9884138373106985
20,2.114414908113525,2.7669951818028933,0.1483236035112718,2.0,0.18898428200114534,-2.1715424114879003
